"","Player","Year","Gcar","Gtm","Date","Tm","Home","Opp","Rslt","Inngs","PA","AB","R","H","X2B","X3B","HR","RBI","BB","IBB","SO","HBP","SH","SF","ROE","GDP","SB","CS","BA","OBP","SLG","OPS","BOP","aLI","WPA","RE24","Pos","DELTAAVG"
"1","jeterde01",1995,"1","28 (27)","May 29, 1995","NYY","@","SEA","L,7-8","CG(12)","5","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",0,".000",".000",".000","9","1.69","-0.231","-1.44","SS",NA
"2","jeterde01",1995,"2","29","May 30, 1995","NYY","@","SEA","L,3-7","CG","4","3","2","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0",0.25,".333",".250",".583","9","1.49","0.065","0.34","SS",0.25
"3","jeterde01",1995,"3","30","May 31, 1995","NYY","@","SEA","L,9-11","GS-9","4","3","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0",0.273,".385",".273",".657","8","1.70","0.072","0.49","SS",0.023
"5","jeterde01",1995,"4","31","Jun 2, 1995","NYY","H","CAL","L,2-3","CG","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.214,".313",".214",".527","9","1.03","-0.071","-0.47","SS",-0.059
"6","jeterde01",1995,"5","32","Jun 3, 1995","NYY","H","CAL","L,2-4","CG","4","4","0","1","1","0","0","1","0","0","2","0","0","0","0","0","0","0",0.222,".300",".278",".578","9","1.16","0.045","0.43","SS",0.00800000000000001
"7","jeterde01",1995,"6","33","Jun 4, 1995","NYY","H","CAL","W,11-3","CG","4","4","1","2","1","0","0","3","0","0","0","0","0","0","0","0","0","0",0.273,".333",".364",".697","8",".17","0.055","1.37","SS",0.051
"8","jeterde01",1995,"7","34","Jun 5, 1995","NYY","H","OAK","L,5-11","CG","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.231,".286",".308",".593","9",".50","-0.053","-0.82","SS",-0.042
"9","jeterde01",1995,"8","35","Jun 6, 1995","NYY","H","OAK","L,6-8","GS-9","4","4","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0",0.233,".281",".300",".581","9","1.41","-0.082","-0.64","SS",0.002
"10","jeterde01",1995,"9","36","Jun 7, 1995","NYY","H","OAK","W,6-1","CG","4","3","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0.242,".306",".303",".609","9",".51","-0.014","0.04","SS",0.00899999999999998
"11","jeterde01",1995,"10","37","Jun 8, 1995","NYY","H","OAK","L,3-8","CG","4","4","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0",0.243,".300",".351",".651","9",".36","0.058","0.72","SS",0.001
